Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1e+08,Resistance,0.354114
1e+08,Inductance,1.1295e-08
1e+08,Conductance,3.0986e-05
1e+08,Capacitance,1.91719e-12
2e+08,Resistance,0.540156
2e+08,Inductance,1.11575e-08
2e+08,Conductance,6.31922e-05
2e+08,Capacitance,1.91709e-12
3e+08,Resistance,0.684219
3e+08,Inductance,1.10972e-08
3e+08,Conductance,9.29396e-05
3e+08,Capacitance,1.91703e-12
4e+08,Resistance,0.804439
4e+08,Inductance,1.10615e-08
4e+08,Conductance,0.000120976
4e+08,Capacitance,1.917e-12
5e+08,Resistance,0.909302
5e+08,Inductance,1.10372e-08
5e+08,Conductance,0.000147915
5e+08,Capacitance,1.91698e-12
6e+08,Resistance,1.0034
6e+08,Inductance,1.10194e-08
6e+08,Conductance,0.000174085
6e+08,Capacitance,1.91697e-12
7e+08,Resistance,1.08946
7e+08,Inductance,1.10055e-08
7e+08,Conductance,0.000199697
7e+08,Capacitance,1.91696e-12
8e+08,Resistance,1.16917
8e+08,Inductance,1.09944e-08
8e+08,Conductance,0.000224865
8e+08,Capacitance,1.91695e-12
9e+08,Resistance,1.24375
9e+08,Inductance,1.09851e-08
9e+08,Conductance,0.000249675
9e+08,Capacitance,1.91695e-12
1e+09,Resistance,1.31411
1e+09,Inductance,1.09773e-08
1e+09,Conductance,0.000274184
1e+09,Capacitance,1.91695e-12
1.1e+09,Resistance,1.38084
1.1e+09,Inductance,1.09706e-08
1.1e+09,Conductance,0.000298504
1.1e+09,Capacitance,1.91694e-12
1.2e+09,Resistance,1.44447
1.2e+09,Inductance,1.09648e-08
1.2e+09,Conductance,0.000322577
1.2e+09,Capacitance,1.91694e-12
1.3e+09,Resistance,1.50574
1.3e+09,Inductance,1.09597e-08
1.3e+09,Conductance,0.000346504
1.3e+09,Capacitance,1.91694e-12
1.4e+09,Resistance,1.56436
1.4e+09,Inductance,1.09551e-08
1.4e+09,Conductance,0.000370258
1.4e+09,Capacitance,1.91694e-12
1.5e+09,Resistance,1.62077
1.5e+09,Inductance,1.09509e-08
1.5e+09,Conductance,0.000393878
1.5e+09,Capacitance,1.91694e-12
1.6e+09,Resistance,1.67533
1.6e+09,Inductance,1.09472e-08
1.6e+09,Conductance,0.000417354
1.6e+09,Capacitance,1.91694e-12
1.7e+09,Resistance,1.72802
1.7e+09,Inductance,1.09438e-08
1.7e+09,Conductance,0.000440743
1.7e+09,Capacitance,1.91694e-12
1.8e+09,Resistance,1.77936
1.8e+09,Inductance,1.09407e-08
1.8e+09,Conductance,0.000464021
1.8e+09,Capacitance,1.91694e-12
1.9e+09,Resistance,1.82902
1.9e+09,Inductance,1.09378e-08
1.9e+09,Conductance,0.00048721
1.9e+09,Capacitance,1.91694e-12
2e+09,Resistance,1.87745
2e+09,Inductance,1.09352e-08
2e+09,Conductance,0.00051031
2e+09,Capacitance,1.91694e-12
2.1e+09,Resistance,1.92477
2.1e+09,Inductance,1.09328e-08
2.1e+09,Conductance,0.000533336
2.1e+09,Capacitance,1.91694e-12
2.2e+09,Resistance,1.97097
2.2e+09,Inductance,1.09305e-08
2.2e+09,Conductance,0.000556283
2.2e+09,Capacitance,1.91694e-12
2.3e+09,Resistance,2.01592
2.3e+09,Inductance,1.09284e-08
2.3e+09,Conductance,0.000579178
2.3e+09,Capacitance,1.91694e-12
2.4e+09,Resistance,2.06006
2.4e+09,Inductance,1.09264e-08
2.4e+09,Conductance,0.000601973
2.4e+09,Capacitance,1.91694e-12
2.5e+09,Resistance,2.10308
2.5e+09,Inductance,1.09245e-08
2.5e+09,Conductance,0.00062477
2.5e+09,Capacitance,1.91694e-12
2.6e+09,Resistance,2.14537
2.6e+09,Inductance,1.09227e-08
2.6e+09,Conductance,0.000647482
2.6e+09,Capacitance,1.91694e-12
2.7e+09,Resistance,2.18688
2.7e+09,Inductance,1.09211e-08
2.7e+09,Conductance,0.000670131
2.7e+09,Capacitance,1.91694e-12
2.8e+09,Resistance,2.22748
2.8e+09,Inductance,1.09195e-08
2.8e+09,Conductance,0.000692741
2.8e+09,Capacitance,1.91694e-12
2.9e+09,Resistance,2.26694
2.9e+09,Inductance,1.0918e-08
2.9e+09,Conductance,0.000715368
2.9e+09,Capacitance,1.91694e-12
3e+09,Resistance,2.30652
3e+09,Inductance,1.09166e-08
3e+09,Conductance,0.000737851
3e+09,Capacitance,1.91694e-12
3.1e+09,Resistance,2.34471
3.1e+09,Inductance,1.09152e-08
3.1e+09,Conductance,0.000760392
3.1e+09,Capacitance,1.91694e-12
3.2e+09,Resistance,2.38272
3.2e+09,Inductance,1.0914e-08
3.2e+09,Conductance,0.000782833
3.2e+09,Capacitance,1.91694e-12
3.3e+09,Resistance,2.41983
3.3e+09,Inductance,1.09127e-08
3.3e+09,Conductance,0.000805276
3.3e+09,Capacitance,1.91694e-12
3.4e+09,Resistance,2.45645
3.4e+09,Inductance,1.09115e-08
3.4e+09,Conductance,0.000827686
3.4e+09,Capacitance,1.91695e-12
3.5e+09,Resistance,2.49278
3.5e+09,Inductance,1.09103e-08
3.5e+09,Conductance,0.000850007
3.5e+09,Capacitance,1.91696e-12
3.6e+09,Resistance,2.5293
3.6e+09,Inductance,1.09094e-08
3.6e+09,Conductance,0.000872158
3.6e+09,Capacitance,1.91693e-12
3.7e+09,Resistance,2.56389
3.7e+09,Inductance,1.09083e-08
3.7e+09,Conductance,0.000894552
3.7e+09,Capacitance,1.91694e-12
3.8e+09,Resistance,2.59882
3.8e+09,Inductance,1.09074e-08
3.8e+09,Conductance,0.000916744
3.8e+09,Capacitance,1.91694e-12
3.9e+09,Resistance,2.63351
3.9e+09,Inductance,1.09064e-08
3.9e+09,Conductance,0.000938879
3.9e+09,Capacitance,1.91694e-12
4e+09,Resistance,2.66703
4e+09,Inductance,1.09055e-08
4e+09,Conductance,0.000961145
4e+09,Capacitance,1.91694e-12
4.1e+09,Resistance,2.70025
4.1e+09,Inductance,1.09046e-08
4.1e+09,Conductance,0.000983341
4.1e+09,Capacitance,1.91694e-12
4.2e+09,Resistance,2.73345
4.2e+09,Inductance,1.09038e-08
4.2e+09,Conductance,0.00100544
4.2e+09,Capacitance,1.91694e-12
4.3e+09,Resistance,2.76611
4.3e+09,Inductance,1.0903e-08
4.3e+09,Conductance,0.00102754
4.3e+09,Capacitance,1.91694e-12
4.4e+09,Resistance,2.79816
4.4e+09,Inductance,1.09022e-08
4.4e+09,Conductance,0.00104967
4.4e+09,Capacitance,1.91694e-12
4.5e+09,Resistance,2.83014
4.5e+09,Inductance,1.09014e-08
4.5e+09,Conductance,0.00107172
4.5e+09,Capacitance,1.91694e-12
4.6e+09,Resistance,2.86145
4.6e+09,Inductance,1.09007e-08
4.6e+09,Conductance,0.00109379
4.6e+09,Capacitance,1.91694e-12
4.7e+09,Resistance,2.89261
4.7e+09,Inductance,1.09e-08
4.7e+09,Conductance,0.00111581
4.7e+09,Capacitance,1.91694e-12
4.8e+09,Resistance,2.92336
4.8e+09,Inductance,1.08993e-08
4.8e+09,Conductance,0.00113785
4.8e+09,Capacitance,1.91694e-12
4.9e+09,Resistance,2.95408
4.9e+09,Inductance,1.08986e-08
4.9e+09,Conductance,0.00115978
4.9e+09,Capacitance,1.91694e-12
5e+09,Resistance,2.98427
5e+09,Inductance,1.08979e-08
5e+09,Conductance,0.00118177
5e+09,Capacitance,1.91694e-12
5.1e+09,Resistance,3.01396
5.1e+09,Inductance,1.08973e-08
5.1e+09,Conductance,0.00120372
5.1e+09,Capacitance,1.91694e-12
5.2e+09,Resistance,3.04349
5.2e+09,Inductance,1.08967e-08
5.2e+09,Conductance,0.00122567
5.2e+09,Capacitance,1.91694e-12
5.3e+09,Resistance,3.07291
5.3e+09,Inductance,1.08961e-08
5.3e+09,Conductance,0.00124756
5.3e+09,Capacitance,1.91694e-12
5.4e+09,Resistance,3.10172
5.4e+09,Inductance,1.08955e-08
5.4e+09,Conductance,0.00126949
5.4e+09,Capacitance,1.91694e-12
5.5e+09,Resistance,3.13034
5.5e+09,Inductance,1.0895e-08
5.5e+09,Conductance,0.0012914
5.5e+09,Capacitance,1.91694e-12
5.6e+09,Resistance,3.15926
5.6e+09,Inductance,1.08944e-08
5.6e+09,Conductance,0.0013132
5.6e+09,Capacitance,1.91694e-12
5.7e+09,Resistance,3.18727
5.7e+09,Inductance,1.08939e-08
5.7e+09,Conductance,0.00133508
5.7e+09,Capacitance,1.91694e-12
5.8e+09,Resistance,3.21543
5.8e+09,Inductance,1.08934e-08
5.8e+09,Conductance,0.00135689
5.8e+09,Capacitance,1.91694e-12
5.9e+09,Resistance,3.24284
5.9e+09,Inductance,1.08929e-08
5.9e+09,Conductance,0.00137877
5.9e+09,Capacitance,1.91694e-12
6e+09,Resistance,3.27077
6e+09,Inductance,1.08924e-08
6e+09,Conductance,0.0014005
6e+09,Capacitance,1.91694e-12
6.1e+09,Resistance,3.29802
6.1e+09,Inductance,1.08919e-08
6.1e+09,Conductance,0.00142231
6.1e+09,Capacitance,1.91694e-12
6.2e+09,Resistance,3.32494
6.2e+09,Inductance,1.08914e-08
6.2e+09,Conductance,0.00144409
6.2e+09,Capacitance,1.91694e-12
6.3e+09,Resistance,3.35182
6.3e+09,Inductance,1.0891e-08
6.3e+09,Conductance,0.00146585
6.3e+09,Capacitance,1.91694e-12
6.4e+09,Resistance,3.37845
6.4e+09,Inductance,1.08905e-08
6.4e+09,Conductance,0.00148759
6.4e+09,Capacitance,1.91694e-12
6.5e+09,Resistance,3.40571
6.5e+09,Inductance,1.08901e-08
6.5e+09,Conductance,0.00150921
6.5e+09,Capacitance,1.91694e-12
6.6e+09,Resistance,3.43099
6.6e+09,Inductance,1.08896e-08
6.6e+09,Conductance,0.00153109
6.6e+09,Capacitance,1.91694e-12
6.7e+09,Resistance,3.45654
6.7e+09,Inductance,1.08893e-08
6.7e+09,Conductance,0.00155286
6.7e+09,Capacitance,1.91694e-12
6.8e+09,Resistance,3.48189
6.8e+09,Inductance,1.08889e-08
6.8e+09,Conductance,0.00157464
6.8e+09,Capacitance,1.91693e-12
6.9e+09,Resistance,3.50792
6.9e+09,Inductance,1.08885e-08
6.9e+09,Conductance,0.00159627
6.9e+09,Capacitance,1.91694e-12
7e+09,Resistance,3.53401
7e+09,Inductance,1.0888e-08
7e+09,Conductance,0.00161785
7e+09,Capacitance,1.91694e-12
7.1e+09,Resistance,3.55939
7.1e+09,Inductance,1.08876e-08
7.1e+09,Conductance,0.00163949
7.1e+09,Capacitance,1.91695e-12
7.2e+09,Resistance,3.58463
7.2e+09,Inductance,1.08873e-08
7.2e+09,Conductance,0.00166111
7.2e+09,Capacitance,1.91694e-12
7.3e+09,Resistance,3.60886
7.3e+09,Inductance,1.08869e-08
7.3e+09,Conductance,0.00168288
7.3e+09,Capacitance,1.91694e-12
7.4e+09,Resistance,3.63353
7.4e+09,Inductance,1.08866e-08
7.4e+09,Conductance,0.00170454
7.4e+09,Capacitance,1.91694e-12
7.5e+09,Resistance,3.65802
7.5e+09,Inductance,1.08862e-08
7.5e+09,Conductance,0.00172619
7.5e+09,Capacitance,1.91694e-12
7.6e+09,Resistance,3.68261
7.6e+09,Inductance,1.08859e-08
7.6e+09,Conductance,0.00174777
7.6e+09,Capacitance,1.91694e-12
7.7e+09,Resistance,3.70663
7.7e+09,Inductance,1.08855e-08
7.7e+09,Conductance,0.00176941
7.7e+09,Capacitance,1.91694e-12
7.8e+09,Resistance,3.73045
7.8e+09,Inductance,1.08852e-08
7.8e+09,Conductance,0.00179107
7.8e+09,Capacitance,1.91694e-12
7.9e+09,Resistance,3.75465
7.9e+09,Inductance,1.08849e-08
7.9e+09,Conductance,0.0018126
7.9e+09,Capacitance,1.91694e-12
8e+09,Resistance,3.77886
8e+09,Inductance,1.08846e-08
8e+09,Conductance,0.0018341
8e+09,Capacitance,1.91694e-12
8.1e+09,Resistance,3.80232
8.1e+09,Inductance,1.08842e-08
8.1e+09,Conductance,0.00185569
8.1e+09,Capacitance,1.91694e-12
8.2e+09,Resistance,3.82572
8.2e+09,Inductance,1.08839e-08
8.2e+09,Conductance,0.00187728
8.2e+09,Capacitance,1.91694e-12
8.3e+09,Resistance,3.84886
8.3e+09,Inductance,1.08836e-08
8.3e+09,Conductance,0.00189886
8.3e+09,Capacitance,1.91694e-12
8.4e+09,Resistance,3.87205
8.4e+09,Inductance,1.08833e-08
8.4e+09,Conductance,0.0019204
8.4e+09,Capacitance,1.91694e-12
8.5e+09,Resistance,3.89489
8.5e+09,Inductance,1.0883e-08
8.5e+09,Conductance,0.00194197
8.5e+09,Capacitance,1.91694e-12
8.6e+09,Resistance,3.91768
8.6e+09,Inductance,1.08828e-08
8.6e+09,Conductance,0.00196354
8.6e+09,Capacitance,1.91694e-12
8.7e+09,Resistance,3.94057
8.7e+09,Inductance,1.08825e-08
8.7e+09,Conductance,0.00198502
8.7e+09,Capacitance,1.91694e-12
8.8e+09,Resistance,3.96333
8.8e+09,Inductance,1.08822e-08
8.8e+09,Conductance,0.00200652
8.8e+09,Capacitance,1.91694e-12
8.9e+09,Resistance,3.9858
8.9e+09,Inductance,1.08819e-08
8.9e+09,Conductance,0.00202805
8.9e+09,Capacitance,1.91694e-12
9e+09,Resistance,4.0081
9e+09,Inductance,1.08817e-08
9e+09,Conductance,0.00204956
9e+09,Capacitance,1.91694e-12
9.1e+09,Resistance,4.03025
9.1e+09,Inductance,1.08814e-08
9.1e+09,Conductance,0.00207106
9.1e+09,Capacitance,1.91694e-12
9.2e+09,Resistance,4.05276
9.2e+09,Inductance,1.08811e-08
9.2e+09,Conductance,0.00209249
9.2e+09,Capacitance,1.91694e-12
9.3e+09,Resistance,4.07447
9.3e+09,Inductance,1.08809e-08
9.3e+09,Conductance,0.00211404
9.3e+09,Capacitance,1.91694e-12
9.4e+09,Resistance,4.0966
9.4e+09,Inductance,1.08806e-08
9.4e+09,Conductance,0.00213546
9.4e+09,Capacitance,1.91694e-12
9.5e+09,Resistance,4.11834
9.5e+09,Inductance,1.08804e-08
9.5e+09,Conductance,0.00215693
9.5e+09,Capacitance,1.91695e-12
9.6e+09,Resistance,4.14058
9.6e+09,Inductance,1.08802e-08
9.6e+09,Conductance,0.00217829
9.6e+09,Capacitance,1.91694e-12
9.7e+09,Resistance,4.1623
9.7e+09,Inductance,1.08799e-08
9.7e+09,Conductance,0.0021997
9.7e+09,Capacitance,1.91694e-12
9.8e+09,Resistance,4.18251
9.8e+09,Inductance,1.08797e-08
9.8e+09,Conductance,0.00222136
9.8e+09,Capacitance,1.91695e-12
9.9e+09,Resistance,4.20395
9.9e+09,Inductance,1.08795e-08
9.9e+09,Conductance,0.00224279
9.9e+09,Capacitance,1.91694e-12
1e+10,Resistance,4.22561
1e+10,Inductance,1.08792e-08
1e+10,Conductance,0.00226413
1e+10,Capacitance,1.91694e-12
1.01e+10,Resistance,4.24481
1.01e+10,Inductance,1.0879e-08
1.01e+10,Conductance,0.00228588
1.01e+10,Capacitance,1.91694e-12
1.02e+10,Resistance,4.26723
1.02e+10,Inductance,1.08788e-08
1.02e+10,Conductance,0.00230707
1.02e+10,Capacitance,1.91694e-12
1.03e+10,Resistance,4.2867
1.03e+10,Inductance,1.08786e-08
1.03e+10,Conductance,0.00232872
1.03e+10,Capacitance,1.91694e-12
1.04e+10,Resistance,4.30898
1.04e+10,Inductance,1.08784e-08
1.04e+10,Conductance,0.00234986
1.04e+10,Capacitance,1.91694e-12
1.05e+10,Resistance,4.32994
1.05e+10,Inductance,1.08781e-08
1.05e+10,Conductance,0.00237124
1.05e+10,Capacitance,1.91695e-12
1.06e+10,Resistance,4.35091
1.06e+10,Inductance,1.08779e-08
1.06e+10,Conductance,0.00239256
1.06e+10,Capacitance,1.91695e-12
1.07e+10,Resistance,4.37068
1.07e+10,Inductance,1.08777e-08
1.07e+10,Conductance,0.00241407
1.07e+10,Capacitance,1.91694e-12
1.08e+10,Resistance,4.39222
1.08e+10,Inductance,1.08775e-08
1.08e+10,Conductance,0.00243524
1.08e+10,Capacitance,1.91694e-12
1.09e+10,Resistance,4.41159
1.09e+10,Inductance,1.08773e-08
1.09e+10,Conductance,0.00245681
1.09e+10,Capacitance,1.91694e-12
1.1e+10,Resistance,4.43239
1.1e+10,Inductance,1.08771e-08
1.1e+10,Conductance,0.00247807
1.1e+10,Capacitance,1.91694e-12
1.11e+10,Resistance,4.45175
1.11e+10,Inductance,1.08769e-08
1.11e+10,Conductance,0.00249958
1.11e+10,Capacitance,1.91695e-12
1.12e+10,Resistance,4.47258
1.12e+10,Inductance,1.08767e-08
1.12e+10,Conductance,0.00252079
1.12e+10,Capacitance,1.91695e-12
1.13e+10,Resistance,4.49205
1.13e+10,Inductance,1.08765e-08
1.13e+10,Conductance,0.00254224
1.13e+10,Capacitance,1.91694e-12
1.14e+10,Resistance,4.51153
1.14e+10,Inductance,1.08764e-08
1.14e+10,Conductance,0.00256366
1.14e+10,Capacitance,1.91695e-12
1.15e+10,Resistance,4.53231
1.15e+10,Inductance,1.08762e-08
1.15e+10,Conductance,0.00258482
1.15e+10,Capacitance,1.91694e-12
1.16e+10,Resistance,4.55109
1.16e+10,Inductance,1.0876e-08
1.16e+10,Conductance,0.00260632
1.16e+10,Capacitance,1.91695e-12
1.17e+10,Resistance,4.57154
1.17e+10,Inductance,1.08758e-08
1.17e+10,Conductance,0.00262751
1.17e+10,Capacitance,1.91695e-12
1.18e+10,Resistance,4.59109
1.18e+10,Inductance,1.08756e-08
1.18e+10,Conductance,0.00264884
1.18e+10,Capacitance,1.91694e-12
1.19e+10,Resistance,4.60995
1.19e+10,Inductance,1.08755e-08
1.19e+10,Conductance,0.00267025
1.19e+10,Capacitance,1.91694e-12
1.2e+10,Resistance,4.6295
1.2e+10,Inductance,1.08753e-08
1.2e+10,Conductance,0.00269153
1.2e+10,Capacitance,1.91694e-12
1.21e+10,Resistance,4.64908
1.21e+10,Inductance,1.08751e-08
1.21e+10,Conductance,0.00271279
1.21e+10,Capacitance,1.91695e-12
1.22e+10,Resistance,4.66801
1.22e+10,Inductance,1.08749e-08
1.22e+10,Conductance,0.00273416
1.22e+10,Capacitance,1.91695e-12
1.23e+10,Resistance,4.6878
1.23e+10,Inductance,1.08748e-08
1.23e+10,Conductance,0.00275536
1.23e+10,Capacitance,1.91694e-12
1.24e+10,Resistance,4.70579
1.24e+10,Inductance,1.08746e-08
1.24e+10,Conductance,0.00277683
1.24e+10,Capacitance,1.91695e-12
1.25e+10,Resistance,4.72493
1.25e+10,Inductance,1.08744e-08
1.25e+10,Conductance,0.00279809
1.25e+10,Capacitance,1.91695e-12
1.26e+10,Resistance,4.74411
1.26e+10,Inductance,1.08743e-08
1.26e+10,Conductance,0.00281934
1.26e+10,Capacitance,1.91694e-12
1.27e+10,Resistance,4.76282
1.27e+10,Inductance,1.08741e-08
1.27e+10,Conductance,0.00284062
1.27e+10,Capacitance,1.91695e-12
1.28e+10,Resistance,4.78224
1.28e+10,Inductance,1.0874e-08
1.28e+10,Conductance,0.00286182
1.28e+10,Capacitance,1.91695e-12
1.29e+10,Resistance,4.80012
1.29e+10,Inductance,1.08738e-08
1.29e+10,Conductance,0.00288323
1.29e+10,Capacitance,1.91695e-12
1.3e+10,Resistance,4.81823
1.3e+10,Inductance,1.08737e-08
1.3e+10,Conductance,0.00290457
1.3e+10,Capacitance,1.91695e-12
1.31e+10,Resistance,4.83807
1.31e+10,Inductance,1.08735e-08
1.31e+10,Conductance,0.00292562
1.31e+10,Capacitance,1.91694e-12
1.32e+10,Resistance,4.85523
1.32e+10,Inductance,1.08734e-08
1.32e+10,Conductance,0.00294711
1.32e+10,Capacitance,1.91695e-12
1.33e+10,Resistance,4.87508
1.33e+10,Inductance,1.08732e-08
1.33e+10,Conductance,0.00296811
1.33e+10,Capacitance,1.91695e-12
1.34e+10,Resistance,4.8933
1.34e+10,Inductance,1.0873e-08
1.34e+10,Conductance,0.0029894
1.34e+10,Capacitance,1.91695e-12
1.35e+10,Resistance,4.90914
1.35e+10,Inductance,1.08729e-08
1.35e+10,Conductance,0.00301106
1.35e+10,Capacitance,1.91695e-12
1.36e+10,Resistance,4.93116
1.36e+10,Inductance,1.08728e-08
1.36e+10,Conductance,0.00303165
1.36e+10,Capacitance,1.91695e-12
1.37e+10,Resistance,4.94681
1.37e+10,Inductance,1.08726e-08
1.37e+10,Conductance,0.0030533
1.37e+10,Capacitance,1.91695e-12
1.38e+10,Resistance,4.96189
1.38e+10,Inductance,1.08725e-08
1.38e+10,Conductance,0.00307506
1.38e+10,Capacitance,1.91695e-12
1.39e+10,Resistance,4.98637
1.39e+10,Inductance,1.08724e-08
1.39e+10,Conductance,0.00309514
1.39e+10,Capacitance,1.91694e-12
1.4e+10,Resistance,5.0034
1.4e+10,Inductance,1.08723e-08
1.4e+10,Conductance,0.00311652
1.4e+10,Capacitance,1.91694e-12
1.41e+10,Resistance,5.02127
1.41e+10,Inductance,1.08721e-08
1.41e+10,Conductance,0.00313777
1.41e+10,Capacitance,1.91695e-12
1.42e+10,Resistance,5.03786
1.42e+10,Inductance,1.0872e-08
1.42e+10,Conductance,0.00315919
1.42e+10,Capacitance,1.91695e-12
1.43e+10,Resistance,5.05398
1.43e+10,Inductance,1.08718e-08
1.43e+10,Conductance,0.0031807
1.43e+10,Capacitance,1.91695e-12
1.44e+10,Resistance,5.0721
1.44e+10,Inductance,1.08717e-08
1.44e+10,Conductance,0.00320184
1.44e+10,Capacitance,1.91695e-12
1.45e+10,Resistance,5.09089
1.45e+10,Inductance,1.08716e-08
1.45e+10,Conductance,0.00322284
1.45e+10,Capacitance,1.91695e-12
1.46e+10,Resistance,5.10617
1.46e+10,Inductance,1.08714e-08
1.46e+10,Conductance,0.00324446
1.46e+10,Capacitance,1.91695e-12
1.47e+10,Resistance,5.12465
1.47e+10,Inductance,1.08713e-08
1.47e+10,Conductance,0.00326548
1.47e+10,Capacitance,1.91695e-12
1.48e+10,Resistance,5.1425
1.48e+10,Inductance,1.08712e-08
1.48e+10,Conductance,0.00328661
1.48e+10,Capacitance,1.91695e-12
1.49e+10,Resistance,5.16029
1.49e+10,Inductance,1.08711e-08
1.49e+10,Conductance,0.00330772
1.49e+10,Capacitance,1.91695e-12
1.5e+10,Resistance,5.17651
1.5e+10,Inductance,1.08709e-08
1.5e+10,Conductance,0.00332911
1.5e+10,Capacitance,1.91695e-12
1.51e+10,Resistance,5.19359
1.51e+10,Inductance,1.08708e-08
1.51e+10,Conductance,0.00335034
1.51e+10,Capacitance,1.91695e-12
1.52e+10,Resistance,5.2112
1.52e+10,Inductance,1.08707e-08
1.52e+10,Conductance,0.00337144
1.52e+10,Capacitance,1.91695e-12
1.53e+10,Resistance,5.22874
1.53e+10,Inductance,1.08706e-08
1.53e+10,Conductance,0.00339256
1.53e+10,Capacitance,1.91695e-12
1.54e+10,Resistance,5.24523
1.54e+10,Inductance,1.08705e-08
1.54e+10,Conductance,0.00341386
1.54e+10,Capacitance,1.91695e-12
1.55e+10,Resistance,5.26307
1.55e+10,Inductance,1.08703e-08
1.55e+10,Conductance,0.00343488
1.55e+10,Capacitance,1.91695e-12
1.56e+10,Resistance,5.27947
1.56e+10,Inductance,1.08702e-08
1.56e+10,Conductance,0.00345617
1.56e+10,Capacitance,1.91695e-12
1.57e+10,Resistance,5.29675
1.57e+10,Inductance,1.08701e-08
1.57e+10,Conductance,0.00347725
1.57e+10,Capacitance,1.91695e-12
1.58e+10,Resistance,5.31274
1.58e+10,Inductance,1.087e-08
1.58e+10,Conductance,0.00349861
1.58e+10,Capacitance,1.91695e-12
1.59e+10,Resistance,5.33035
1.59e+10,Inductance,1.08699e-08
1.59e+10,Conductance,0.00351962
1.59e+10,Capacitance,1.91695e-12
1.6e+10,Resistance,5.34632
1.6e+10,Inductance,1.08698e-08
1.6e+10,Conductance,0.00354091
1.6e+10,Capacitance,1.91695e-12
1.61e+10,Resistance,5.36385
1.61e+10,Inductance,1.08696e-08
1.61e+10,Conductance,0.00356192
1.61e+10,Capacitance,1.91695e-12
1.62e+10,Resistance,5.37986
1.62e+10,Inductance,1.08695e-08
1.62e+10,Conductance,0.00358319
1.62e+10,Capacitance,1.91695e-12
1.63e+10,Resistance,5.39705
1.63e+10,Inductance,1.08694e-08
1.63e+10,Conductance,0.00360425
1.63e+10,Capacitance,1.91695e-12
1.64e+10,Resistance,5.4131
1.64e+10,Inductance,1.08693e-08
1.64e+10,Conductance,0.00362548
1.64e+10,Capacitance,1.91695e-12
1.65e+10,Resistance,5.42881
1.65e+10,Inductance,1.08692e-08
1.65e+10,Conductance,0.00364676
1.65e+10,Capacitance,1.91695e-12
1.66e+10,Resistance,5.44705
1.66e+10,Inductance,1.08691e-08
1.66e+10,Conductance,0.00366758
1.66e+10,Capacitance,1.91695e-12
1.67e+10,Resistance,5.46206
1.67e+10,Inductance,1.0869e-08
1.67e+10,Conductance,0.00368898
1.67e+10,Capacitance,1.91695e-12
1.68e+10,Resistance,5.47938
1.68e+10,Inductance,1.08689e-08
1.68e+10,Conductance,0.00370993
1.68e+10,Capacitance,1.91695e-12
1.69e+10,Resistance,5.49535
1.69e+10,Inductance,1.08688e-08
